Provider,Host,Porta,Crittografia,Stato
Aruba,smtp.aruba.it,587,tls,
Gmail,smtp.gmail.com,587,tls,Successo
Outlook,smtp-mail.outlook.com,587,tls,Successo
Yahoo,smtp.mail.yahoo.com,465,ssl,Successo
Aruba,smtp.aruba.it,587,tls,
Gmail,smtp.gmail.com,587,tls,Successo
Outlook,smtp-mail.outlook.com,587,tls,Successo
Yahoo,smtp.mail.yahoo.com,465,ssl,Successo
Aruba,smtp.aruba.it,587,tls,""
Aruba,smtp.aruba.it,587,ssl,""
Aruba,smtp.aruba.it,465,tls,""
Aruba,smtp.aruba.it,465,ssl,"Successo"
Aruba,smtps.aruba.it,587,tls,"Successo"
Aruba,smtps.aruba.it,587,ssl,""
Aruba,smtps.aruba.it,465,tls,""
Aruba,smtps.aruba.it,465,ssl,"Successo"
Gmail,smtp.gmail.com,587,tls,"Successo"
Gmail,smtp.gmail.com,587,ssl,""
Gmail,smtp.gmail.com,465,tls,""
Gmail,smtp.gmail.com,465,ssl,"Successo"
Outlook,smtp-mail.outlook.com,587,tls,"Successo"
Yahoo,smtp.mail.yahoo.com,465,ssl,"Successo"
